Timestamp,Age,Location,Feel Safe,Know Emergency Number,Use Safety App
2025-05-04 04:20:00,50,Delhi,Somewhat Safe,Yes,No
2025-05-04 04:30:00,49,Kolkata,Very Safe,Yes,Yes
2025-05-04 04:40:00,32,Bangalore,Somewhat Safe,No,No
2025-05-04 04:50:00,41,Kolkata,Not Safe,Yes,No
2025-05-04 05:00:00,19,Amritsar,Somewhat Safe,Yes,No
2025-05-04 05:10:00,50,Hyderabad,Very Safe,Yes,No
2025-05-04 05:20:00,34,Amritsar,Somewhat Safe,Yes,Yes
2025-05-04 05:30:00,18,Hyderabad,Somewhat Safe,Yes,No
2025-05-04 05:40:00,32,Bangalore,Very Safe,Yes,No
2025-05-04 05:50:00,18,Pune,Very Safe,Yes,No
2025-05-04 06:00:00,26,Amritsar,Very Safe,No,Yes
2025-05-04 06:10:00,20,Pune,Very Safe,Yes,Yes
2025-05-04 06:20:00,34,Bhopal,Very Safe,Yes,Yes
2025-05-04 06:30:00,38,Surat,Very Safe,Yes,No
2025-05-04 06:40:00,42,Ahmedabad,Very Safe,Yes,Yes
2025-05-04 06:50:00,43,Lucknow,Not Safe,Yes,No
2025-05-04 07:00:00,39,Noida,Very Safe,Yes,Yes
2025-05-04 07:10:00,49,Delhi,Very Safe,Yes,No
2025-05-04 07:20:00,28,Nagpur,Very Safe,Yes,No
2025-05-04 07:30:00,42,Ahmedabad,Not Safe,Yes,Yes
2025-05-04 07:40:00,19,Surat,Not Safe,No,Yes
2025-05-04 07:50:00,42,Nagpur,Somewhat Safe,Yes,No
2025-05-04 08:00:00,29,Nagpur,Somewhat Safe,Yes,No
2025-05-04 08:10:00,49,Chennai,Not Safe,No,Yes
2025-05-04 08:20:00,31,Delhi,Somewhat Safe,Yes,Yes
2025-05-04 08:30:00,19,Delhi,Somewhat Safe,Yes,No
2025-05-04 08:40:00,29,Chennai,Somewhat Safe,Yes,Yes
2025-05-04 08:50:00,43,Chennai,Somewhat Safe,Yes,No
2025-05-04 09:00:00,36,Ranchi,Somewhat Safe,Yes,Yes
2025-05-04 09:10:00,20,Surat,Very Safe,Yes,No
2025-05-04 09:20:00,48,Kanpur,Somewhat Safe,Yes,Yes
2025-05-04 09:30:00,36,Bhopal,Somewhat Safe,Yes,No
2025-05-04 09:40:00,50,Mumbai,Somewhat Safe,Yes,Yes
2025-05-04 09:50:00,27,Kanpur,Very Safe,Yes,No
2025-05-04 10:00:00,26,Noida,Somewhat Safe,Yes,Yes
2025-05-04 10:10:00,30,Mumbai,Not Safe,Yes,No
2025-05-04 10:20:00,23,Ranchi,Somewhat Safe,Yes,No
2025-05-04 10:30:00,21,Kolkata,Somewhat Safe,No,No
2025-05-04 10:40:00,25,Chennai,Somewhat Safe,Yes,No
2025-05-04 10:50:00,19,Surat,Somewhat Safe,Yes,Yes
2025-05-04 11:00:00,21,Kolkata,Somewhat Safe,Yes,No
2025-05-04 11:10:00,27,Lucknow,Very Safe,No,Yes
2025-05-04 11:20:00,26,Delhi,Not Safe,No,No
2025-05-04 11:30:00,32,Noida,Somewhat Safe,Yes,Yes
2025-05-04 11:40:00,35,Chennai,Not Safe,No,No
2025-05-04 11:50:00,26,Noida,Somewhat Safe,No,No
2025-05-04 12:00:00,49,Kolkata,Very Safe,No,No
2025-05-04 12:10:00,34,Surat,Very Safe,No,No
2025-05-04 12:20:00,20,Guwahati,Somewhat Safe,Yes,No
2025-05-04 12:30:00,45,Lucknow,Somewhat Safe,Yes,Yes
2025-05-04 12:40:00,34,Hyderabad,Somewhat Safe,Yes,Yes
2025-05-04 12:50:00,41,Noida,Very Safe,Yes,Yes
2025-05-04 13:00:00,31,Surat,Somewhat Safe,Yes,No
2025-05-04 13:10:00,38,Nagpur,Somewhat Safe,No,Yes
2025-05-04 13:20:00,47,Pune,Somewhat Safe,Yes,Yes
2025-05-04 13:30:00,36,Bhopal,Very Safe,Yes,Yes
2025-05-04 13:40:00,44,Patna,Somewhat Safe,No,No
2025-05-04 13:50:00,38,Ranchi,Very Safe,Yes,No
2025-05-04 14:00:00,39,Jaipur,Very Safe,No,No
2025-05-04 14:10:00,35,Mumbai,Somewhat Safe,No,Yes
2025-05-04 14:20:00,33,Kolkata,Very Safe,Yes,Yes
2025-05-04 14:30:00,29,Chennai,Very Safe,No,No
2025-05-04 14:40:00,35,Patna,Somewhat Safe,Yes,Yes
2025-05-04 14:50:00,38,Amritsar,Not Safe,Yes,Yes
2025-05-04 15:00:00,21,Delhi,Not Safe,Yes,No
2025-05-04 15:10:00,21,Nagpur,Not Safe,No,No
2025-05-04 15:20:00,27,Guwahati,Somewhat Safe,No,Yes
2025-05-04 15:30:00,47,Patna,Very Safe,No,No
2025-05-04 15:40:00,33,Noida,Not Safe,Yes,Yes
2025-05-04 15:50:00,22,Nagpur,Not Safe,Yes,No
2025-05-04 16:00:00,39,Nagpur,Somewhat Safe,No,No
2025-05-04 16:10:00,26,Jaipur,Very Safe,Yes,No
2025-05-04 16:20:00,49,Noida,Somewhat Safe,Yes,No
2025-05-04 16:30:00,18,Noida,Not Safe,Yes,Yes
2025-05-04 16:40:00,26,Jaipur,Not Safe,Yes,No
2025-05-04 16:50:00,47,Kolkata,Somewhat Safe,Yes,No
2025-05-04 17:00:00,41,Amritsar,Somewhat Safe,Yes,Yes
2025-05-04 17:10:00,26,Delhi,Very Safe,No,Yes
2025-05-04 17:20:00,28,Noida,Very Safe,No,Yes
2025-05-04 17:30:00,47,Indore,Not Safe,No,No
2025-05-04 17:40:00,25,Mumbai,Somewhat Safe,No,No
2025-05-04 17:50:00,30,Pune,Not Safe,Yes,Yes
2025-05-04 18:00:00,29,Jaipur,Very Safe,No,Yes
2025-05-04 18:10:00,21,Lucknow,Somewhat Safe,Yes,Yes
2025-05-04 18:20:00,27,Ahmedabad,Very Safe,Yes,No
2025-05-04 18:30:00,22,Hyderabad,Somewhat Safe,Yes,No
2025-05-04 18:40:00,42,Ranchi,Somewhat Safe,Yes,No
2025-05-04 18:50:00,22,Patna,Somewhat Safe,Yes,No
2025-05-04 19:00:00,33,Bhopal,Not Safe,Yes,No
2025-05-04 19:10:00,24,Bhopal,Very Safe,Yes,Yes
